Key,Date,Day,AvailableTime,AirScore,WeatherScore,Dorm,Distance(m)
A1,2019-04-15,Monday,NA,1,5,0,258.0881473
A1,2019-04-16,Tuesday,NA,1,2,0,258.0881473
A1,2019-04-17,Wednesday,NA,1,4,0,258.0881473
A1,2019-04-18,Thursday,2015.75,1,1,0,258.0881473
A1,2019-04-22,Monday,NA,1,2,0,NA
A1,2019-04-23,Tuesday,NA,2,1,0,258.0881473
A1,2019-04-24,Wednesday,NA,1,1,0,258.0881473
A1,2019-04-25,Thursday,2015.75,1,1,0,132.335733
A1,2019-04-30,Tuesday,NA,1,2,0,258.0881473
A1,2019-05-02,Thursday,2015.75,3,2,0,258.0881473
A1,2019-05-08,Wednesday,NA,1,3,0,258.0881473
A1,2019-05-09,Thursday,2015.75,1,2,0,258.0881473
A1,2019-05-13,Monday,NA,NA,1,0,258.0881473
A2,2019-04-15,Monday,NA,1,5,0,NA
A2,2019-04-17,Wednesday,NA,1,4,0,258.0881473
A2,2019-04-18,Thursday,2515,1,1,0,258.0881473
A2,2019-04-22,Monday,NA,1,2,0,NA
A2,2019-04-24,Wednesday,NA,1,1,0,258.0881473
A2,2019-04-25,Thursday,2515,1,1,0,132.335733
A2,2019-04-29,Monday,NA,1,1,0,NA
A2,2019-04-30,Tuesday,NA,1,2,0,258.0881473
A2,2019-05-02,Thursday,2515,3,2,0,258.0881473
A2,2019-05-03,Friday,NA,1,2,0,NA
A2,2019-05-07,Tuesday,NA,1,5,0,258.0881473
A2,2019-05-08,Wednesday,NA,1,3,0,258.0881473
A2,2019-05-09,Thursday,2515,1,2,0,258.0881473
A2,2019-05-13,Monday,NA,NA,1,0,258.0881473
A3,2019-04-15,Monday,1296.75,1,5,0,295.721823
A3,2019-04-16,Tuesday,4801,1,2,0,258.0881473
A3,2019-04-18,Thursday,20,1,1,0,258.0881473
A3,2019-04-22,Monday,1296.75,1,2,0,NA
A3,2019-04-25,Thursday,20,1,1,0,NA
A3,2019-04-29,Monday,1296.75,1,1,0,295.721823
A3,2019-04-30,Tuesday,4801,1,2,0,258.0881473
A3,2019-05-02,Thursday,20,3,2,0,258.0881473
A3,2019-05-07,Tuesday,4801,1,5,0,258.0881473
A3,2019-05-08,Wednesday,534.6,1,3,0,132.335733
A3,2019-05-13,Monday,1296.75,NA,1,0,295.721823
A4,2019-04-22,Monday,NA,1,2,0,258.0881473
A4,2019-04-23,Tuesday,1580.5,2,1,0,258.0881473
A4,2019-04-24,Wednesday,2641,1,1,0,132.335733
A4,2019-04-25,Thursday,403,1,1,0,258.0881473
A4,2019-05-07,Tuesday,1580.5,1,5,0,141.7767165
A4,2019-05-08,Wednesday,2641,1,3,0,258.0881473
A5,2019-04-15,Monday,NA,1,5,1,NA
A5,2019-04-16,Tuesday,660.3333333,1,2,1,258.0881473
A5,2019-04-17,Wednesday,3494.5,1,4,1,NA
A5,2019-04-18,Thursday,1174.75,1,1,1,141.7767165
A5,2019-04-22,Monday,NA,1,2,1,NA
A5,2019-04-23,Tuesday,660.3333333,2,1,1,132.335733
A5,2019-04-25,Thursday,1174.75,1,1,1,258.0881473
A5,2019-04-29,Monday,NA,1,1,1,NA
A5,2019-05-01,Wednesday,3494.5,1,2,1,258.0881473
A5,2019-05-07,Tuesday,660.3333333,1,5,1,NA
A5,2019-05-08,Wednesday,3494.5,1,3,1,258.0881473
A5,2019-05-09,Thursday,1174.75,1,2,1,258.0881473
A5,2019-05-13,Monday,NA,NA,1,1,NA
B1,2019-04-15,Monday,NA,1,5,0,NA
B1,2019-04-16,Tuesday,NA,1,2,0,NA
B1,2019-04-17,Wednesday,584.25,1,4,0,258.0881473
B1,2019-04-18,Thursday,8739,1,1,0,774.9080656
B1,2019-04-19,Friday,2781.666667,1,2,0,308.6056582
B1,2019-04-22,Monday,NA,1,2,0,NA
B1,2019-04-23,Tuesday,NA,2,1,0,774.9080656
B1,2019-04-24,Wednesday,584.25,1,1,0,NA
B1,2019-04-25,Thursday,8739,1,1,0,774.9080656
B1,2019-04-29,Monday,NA,1,1,0,NA
B1,2019-04-30,Tuesday,NA,1,2,0,774.9080656
B1,2019-05-01,Wednesday,584.25,1,2,0,258.0881473
B1,2019-05-02,Thursday,8739,3,2,0,774.9080656
B1,2019-05-03,Friday,2781.666667,1,2,0,774.9080656
B1,2019-05-07,Tuesday,NA,1,5,0,774.9080656
B1,2019-05-08,Wednesday,584.25,1,3,0,258.0881473
B1,2019-05-09,Thursday,8739,1,2,0,774.9080656
B1,2019-05-10,Friday,2781.666667,1,2,0,774.9080656
B1,2019-05-13,Monday,NA,NA,1,0,258.0881473
B1,2019-05-14,Tuesday,NA,NA,2,0,774.9080656
B1,2019-05-15,Wednesday,584.25,NA,2,0,NA
B2,2019-04-18,Thursday,1306.5,1,1,0,NA
B2,2019-04-22,Monday,3593,1,2,0,420.9233811
B2,2019-04-23,Tuesday,424,2,1,0,774.9080656
B2,2019-04-24,Wednesday,3797.5,1,1,0,420.9233811
B2,2019-04-25,Thursday,1306.5,1,1,0,NA
B2,2019-04-29,Monday,3593,1,1,0,774.9080656
B2,2019-04-30,Tuesday,424,1,2,0,774.9080656
B2,2019-05-10,Friday,767.75,1,2,0,180.4581399
B2,2019-05-13,Monday,3593,NA,1,0,NA
B3,2019-04-04,Thursday,7622,1,2,0,774.9080656
B3,2019-04-05,Friday,4188,1,2,0,774.9080656
B3,2019-04-08,Monday,527,1,4,0,NA
B3,2019-04-09,Tuesday,7042,1,1,0,774.9080656
B3,2019-04-11,Thursday,7622,1,1,0,774.9080656
B3,2019-04-12,Friday,4188,1,2,0,774.9080656
B3,2019-04-15,Monday,527,1,5,0,258.0881473
B3,2019-04-16,Tuesday,7042,1,2,0,774.9080656
B3,2019-04-17,Wednesday,NA,1,4,0,NA
B3,2019-04-18,Thursday,7622,1,1,0,774.9080656
B3,2019-04-19,Friday,4188,1,2,0,774.9080656
B3,2019-04-22,Monday,527,1,2,0,258.0881473
B3,2019-04-23,Tuesday,7042,2,1,0,NA
B3,2019-04-24,Wednesday,NA,1,1,0,NA
B3,2019-04-25,Thursday,7622,1,1,0,NA
B3,2019-05-02,Thursday,7622,3,2,0,774.9080656
B3,2019-05-03,Friday,4188,1,2,0,774.9080656
B3,2019-05-07,Tuesday,7042,1,5,0,774.9080656
B3,2019-05-08,Wednesday,NA,1,3,0,258.0881473
B3,2019-05-09,Thursday,7622,1,2,0,774.9080656
B3,2019-05-10,Friday,4188,1,2,0,774.9080656
B3,2019-05-13,Monday,527,NA,1,0,NA
B4,2019-04-08,Monday,NA,1,4,0,258.0881473
B4,2019-04-09,Tuesday,11,1,1,0,258.0881473
B4,2019-04-11,Thursday,5156,1,1,0,202.9398888
B4,2019-04-15,Monday,NA,1,5,0,NA
B4,2019-04-17,Wednesday,NA,1,4,0,258.0881473
B4,2019-04-22,Monday,NA,1,2,0,258.0881473
B4,2019-04-23,Tuesday,11,2,1,0,258.0881473
B4,2019-04-24,Wednesday,NA,1,1,0,258.0881473
B4,2019-04-25,Thursday,5156,1,1,0,269.2640067
B4,2019-04-29,Monday,NA,1,1,0,NA
B4,2019-04-30,Tuesday,11,1,2,0,NA
B4,2019-05-01,Wednesday,NA,1,2,0,NA
B4,2019-05-02,Thursday,5156,3,2,0,NA
B4,2019-05-07,Tuesday,11,1,5,0,269.2640067
B4,2019-05-08,Wednesday,NA,1,3,0,258.0881473
B4,2019-05-13,Monday,NA,NA,1,0,258.0881473
B5,2019-04-15,Monday,NA,1,5,0,258.0881473
B5,2019-04-16,Tuesday,12590,1,2,0,774.9080656
B5,2019-04-17,Wednesday,NA,1,4,0,258.0881473
B5,2019-04-18,Thursday,11505,1,1,0,774.9080656
B5,2019-04-19,Friday,NA,1,2,0,NA
B5,2019-04-22,Monday,NA,1,2,0,258.0881473
B5,2019-04-23,Tuesday,12590,2,1,0,NA
B5,2019-04-25,Thursday,11505,1,1,0,774.9080656
B5,2019-04-26,Friday,NA,1,1,0,NA
B5,2019-04-29,Monday,NA,1,1,0,258.0881473
B5,2019-04-30,Tuesday,12590,1,2,0,774.9080656
B5,2019-05-01,Wednesday,NA,1,2,0,NA
B5,2019-05-02,Thursday,11505,3,2,0,NA
B5,2019-05-07,Tuesday,12590,1,5,0,774.9080656
B5,2019-05-08,Wednesday,NA,1,3,0,258.0881473
B5,2019-05-09,Thursday,11505,1,2,0,774.9080656
B5,2019-05-13,Monday,NA,NA,1,0,258.0881473
B5,2019-05-14,Tuesday,12590,NA,2,0,774.9080656
C1,2019-04-15,Monday,1627.5,1,5,0,139.4843326
C1,2019-04-16,Tuesday,NA,1,2,0,258.0881473
C1,2019-04-17,Wednesday,1753,1,4,0,NA
C1,2019-04-18,Thursday,3861,1,1,0,NA
C1,2019-04-19,Friday,NA,1,2,0,NA
C1,2019-04-20,Saturday,0,1,1,0,NA
C1,2019-04-22,Monday,1627.5,1,2,0,NA
C1,2019-04-23,Tuesday,NA,2,1,0,NA
C1,2019-04-24,Wednesday,1753,1,1,0,198.5964061
C1,2019-04-29,Monday,1627.5,1,1,0,NA
C1,2019-04-30,Tuesday,NA,1,2,0,NA
C1,2019-05-01,Wednesday,1753,1,2,0,NA
C1,2019-05-02,Thursday,3861,3,2,0,258.0881473
C1,2019-05-03,Friday,NA,1,2,0,NA
C1,2019-05-13,Monday,1627.5,NA,1,0,NA
C2,2019-04-15,Monday,4275,1,5,0,258.0881473
C2,2019-04-16,Tuesday,NA,1,2,0,NA
C2,2019-04-17,Wednesday,NA,1,4,0,258.0881473
C2,2019-04-22,Monday,4275,1,2,0,NA
C2,2019-04-23,Tuesday,NA,2,1,0,NA
C2,2019-04-24,Wednesday,NA,1,1,0,258.0881473
C2,2019-04-25,Thursday,NA,1,1,0,NA
C2,2019-04-29,Monday,4275,1,1,0,258.0881473
C2,2019-04-30,Tuesday,NA,1,2,0,NA
C2,2019-05-01,Wednesday,NA,1,2,0,NA
C2,2019-05-03,Friday,58.5,1,2,0,139.4843326
C2,2019-05-07,Tuesday,NA,1,5,0,258.0881473
C2,2019-05-13,Monday,4275,NA,1,0,258.0881473
C3,2019-04-16,Tuesday,2053.6,1,2,0,258.0881473
C3,2019-04-17,Wednesday,NA,1,4,0,NA
C3,2019-04-18,Thursday,3915.5,1,1,0,258.0881473
C3,2019-04-23,Tuesday,2053.6,2,1,0,258.0881473
C3,2019-04-25,Thursday,3915.5,1,1,0,NA
C3,2019-04-29,Monday,NA,1,1,0,NA
C3,2019-04-30,Tuesday,2053.6,1,2,0,258.0881473
C3,2019-05-01,Wednesday,NA,1,2,0,NA
C3,2019-05-07,Tuesday,2053.6,1,5,0,258.0881473
C3,2019-05-08,Wednesday,NA,1,3,0,NA
C3,2019-05-09,Thursday,3915.5,1,2,0,258.0881473
C3,2019-05-13,Monday,NA,NA,1,0,NA
C4,2019-04-17,Wednesday,385,1,4,0,NA
C4,2019-04-18,Thursday,NA,1,1,0,NA
C4,2019-04-19,Friday,NA,1,2,0,NA
C4,2019-04-20,Saturday,0,1,1,0,NA
C4,2019-04-22,Monday,1184,1,2,0,NA
C4,2019-04-23,Tuesday,2536,2,1,0,NA
C4,2019-04-25,Thursday,NA,1,1,0,NA
C4,2019-04-26,Friday,NA,1,1,0,NA
C4,2019-04-29,Monday,1184,1,1,0,NA
C4,2019-04-30,Tuesday,2536,1,2,0,NA
C4,2019-05-01,Wednesday,385,1,2,0,NA
C4,2019-05-02,Thursday,NA,3,2,0,NA
C4,2019-05-03,Friday,NA,1,2,0,NA
C4,2019-05-04,Saturday,0,2,2,0,NA
C4,2019-05-07,Tuesday,2536,1,5,0,NA
C4,2019-05-08,Wednesday,385,1,3,0,NA
C4,2019-05-09,Thursday,NA,1,2,0,NA
C4,2019-05-13,Monday,1184,NA,1,0,NA
C4,2019-05-14,Tuesday,2536,NA,2,0,NA
C5,2019-04-15,Monday,5791.666667,1,5,0,NA
C5,2019-04-16,Tuesday,2681.076923,1,2,0,132.335733
C5,2019-04-17,Wednesday,5361.5,1,4,0,NA
C5,2019-04-18,Thursday,1894.538462,1,1,0,258.0881473
C5,2019-04-22,Monday,5791.666667,1,2,0,258.0881473
C5,2019-04-23,Tuesday,2681.076923,2,1,0,141.7767165
C5,2019-04-24,Wednesday,5361.5,1,1,0,NA
C5,2019-04-25,Thursday,1894.538462,1,1,0,132.335733
C5,2019-04-29,Monday,5791.666667,1,1,0,258.0881473
C5,2019-04-30,Tuesday,2681.076923,1,2,0,132.335733
C5,2019-05-01,Wednesday,5361.5,1,2,0,258.0881473
C5,2019-05-02,Thursday,1894.538462,3,2,0,132.335733
C5,2019-05-07,Tuesday,2681.076923,1,5,0,258.0881473
C5,2019-05-08,Wednesday,5361.5,1,3,0,258.0881473
C5,2019-05-09,Thursday,1894.538462,1,2,0,141.7767165
D1,2019-04-17,Wednesday,167,1,4,0,381.0893375
D1,2019-04-18,Thursday,304.5,1,1,0,258.0881473
D1,2019-04-19,Friday,NA,1,2,0,774.9080656
D1,2019-04-23,Tuesday,NA,2,1,0,258.0881473
D1,2019-04-24,Wednesday,167,1,1,0,NA
D1,2019-04-25,Thursday,304.5,1,1,0,258.0881473
D1,2019-04-26,Friday,NA,1,1,0,NA
D1,2019-04-30,Tuesday,NA,1,2,0,258.0881473
D1,2019-05-01,Wednesday,167,1,2,0,180.4581399
D1,2019-05-02,Thursday,304.5,3,2,0,NA
D1,2019-05-07,Tuesday,NA,1,5,0,NA
D1,2019-05-08,Wednesday,167,1,3,0,NA
D1,2019-05-13,Monday,NA,NA,1,0,NA
D2,2019-04-15,Monday,604,1,5,0,258.0881473
D2,2019-04-16,Tuesday,2999,1,2,0,258.0881473
D2,2019-04-22,Monday,604,1,2,0,139.4843326
D2,2019-04-25,Thursday,1981.5,1,1,0,132.335733
D2,2019-05-01,Wednesday,NA,1,2,0,258.0881473
D2,2019-05-08,Wednesday,NA,1,3,0,NA
D2,2019-05-09,Thursday,1981.5,1,2,0,139.4843326
D2,2019-05-13,Monday,604,NA,1,0,132.335733
D3,2019-04-16,Tuesday,3546,1,2,1,141.7767165
D3,2019-04-17,Wednesday,4083.5,1,4,1,515.0831232
D3,2019-04-18,Thursday,1787,1,1,1,515.0831232
D3,2019-04-22,Monday,4013.5,1,2,1,515.0831232
D3,2019-04-23,Tuesday,3546,2,1,1,258.0881473
D3,2019-04-29,Monday,4013.5,1,1,1,515.0831232
D3,2019-05-02,Thursday,1787,3,2,1,515.0831232
D3,2019-05-07,Tuesday,3546,1,5,1,258.0881473
D3,2019-05-08,Wednesday,4083.5,1,3,1,515.0831232
D4,2019-04-11,Thursday,2178,1,1,0,NA
D4,2019-04-12,Friday,NA,1,2,0,NA
D4,2019-04-13,Saturday,0,1,2,0,NA
D4,2019-04-15,Monday,NA,1,5,0,NA
D4,2019-04-18,Thursday,2178,1,1,0,NA
D4,2019-04-21,Sunday,0,1,1,0,NA
